logS,delta,sigma,v_star,action_rate,action_rate_cutoff,n_switches_a_star,switches_ok,always0,always1,n_v,dv
-3,0.46,1,3.50666666666667,0.000198504325463256,0.000226878587216595,1,TRUE,FALSE,FALSE,1201,0.00666666666666993
-3,0.52,1,3.61333333333333,0.000121867433058381,0.00015114284386808,1,TRUE,FALSE,FALSE,1201,0.00666666666666993
-3,0.58,1,3.71333333333333,7.23996877321349e-05,0.000102273594447366,1,TRUE,FALSE,FALSE,1201,0.00666666666666993
-3,0.64,1,3.81333333333333,3.82542892350566e-05,6.85524978873975e-05,1,TRUE,FALSE,FALSE,1201,0.00666666666666993
-3,0.7,1,3.90666666666667,1.62099048234462e-05,4.67890523890846e-05,1,TRUE,FALSE,FALSE,1201,0.00666666666666993
-3,0.76,1,3.99333333333333,1.80849475393542e-06,3.25754390669841e-05,1,TRUE,FALSE,FALSE,1201,0.00666666666666993
-3,0.82,1,Inf,0,0,0,TRUE,TRUE,FALSE,1201,0.00666666666666993
-3,0.88,1,Inf,0,0,0,TRUE,TRUE,FALSE,1201,0.00666666666666993
-3,0.94,1,Inf,0,0,0,TRUE,TRUE,FALSE,1201,0.00666666666666993
-3,1,1,Inf,0,0,0,TRUE,TRUE,FALSE,1201,0.00666666666666993
-3,1.06,1,Inf,0,0,0,TRUE,TRUE,FALSE,1201,0.00666666666666993
-3,1.12,1,Inf,0,0,0,TRUE,TRUE,FALSE,1201,0.00666666666666993
-3,1.18,1,Inf,0,0,0,TRUE,TRUE,FALSE,1201,0.00666666666666993
-3,1.24,1,Inf,0,0,0,TRUE,TRUE,FALSE,1201,0.00666666666666993
-3,1.3,1,Inf,0,0,0,TRUE,TRUE,FALSE,1201,0.00666666666666993
-3,1.36,1,Inf,0,0,0,TRUE,TRUE,FALSE,1201,0.00666666666666993
-3,1.42,1,Inf,0,0,0,TRUE,TRUE,FALSE,1201,0.00666666666666993
-3,1.48,1,Inf,0,0,0,TRUE,TRUE,FALSE,1201,0.00666666666666993
-3,1.54,1,Inf,0,0,0,TRUE,TRUE,FALSE,1201,0.00666666666666993
-3,1.6,1,Inf,0,0,0,TRUE,TRUE,FALSE,1201,0.00666666666666993
-3,1.66,1,Inf,0,0,0,TRUE,TRUE,FALSE,1201,0.00666666666666993
-3,1.72,1,Inf,0,0,0,TRUE,TRUE,FALSE,1201,0.00666666666666993
-3,1.78,1,Inf,0,0,0,TRUE,TRUE,FALSE,1201,0.00666666666666993
-3,1.84,1,Inf,0,0,0,TRUE,TRUE,FALSE,1201,0.00666666666666993
-3,1.9,1,Inf,0,0,0,TRUE,TRUE,FALSE,1201,0.00666666666666993
-3,1.96,1,Inf,0,0,0,TRUE,TRUE,FALSE,1201,0.00666666666666993
-3,2.02,1,Inf,0,0,0,TRUE,TRUE,FALSE,1201,0.00666666666666993
-3,2.08,1,Inf,0,0,0,TRUE,TRUE,FALSE,1201,0.00666666666666993
-3,2.14,1,Inf,0,0,0,TRUE,TRUE,FALSE,1201,0.00666666666666993
-3,2.2,1,Inf,0,0,0,TRUE,TRUE,FALSE,1201,0.00666666666666993
-3,2.26,1,Inf,0,0,0,TRUE,TRUE,FALSE,1201,0.00666666666666993
-3,2.32,1,Inf,0,0,0,TRUE,TRUE,FALSE,1201,0.00666666666666993
-3,2.38,1,Inf,0,0,0,TRUE,TRUE,FALSE,1201,0.00666666666666993
-3,2.44,1,Inf,0,0,0,TRUE,TRUE,FALSE,1201,0.00666666666666993
-3,2.5,1,Inf,0,0,0,TRUE,TRUE,FALSE,1201,0.00666666666666993
-2.8,0.1,1,-4,0.0272606584376253,,2,FALSE,FALSE,FALSE,1201,0.00666666666666993
-2.8,0.16,1,2.56666666666667,0.00515232510583303,0.00513406332735034,1,TRUE,FALSE,FALSE,1201,0.00666666666666993
-2.8,0.22,1,2.82,0.00239497641303788,0.0024011824741893,1,TRUE,FALSE,FALSE,1201,0.00666666666666993
-2.8,0.28,1,3.00666666666667,0.00130394732240073,0.00132064608780869,1,TRUE,FALSE,FALSE,1201,0.00666666666666993
-2.8,0.34,1,3.16,0.000766675177164004,0.00078884569437554,1,TRUE,FALSE,FALSE,1201,0.00666666666666993
-2.8,0.4,1,3.29333333333333,0.000469698943686135,0.000495035102029195,1,TRUE,FALSE,FALSE,1201,0.00666666666666993
-2.8,0.46,1,3.41333333333333,0.000293579753026842,0.000320866987079782,1,TRUE,FALSE,FALSE,1201,0.00666666666666993
-2.8,0.52,1,3.52,0.000187268618832906,0.000215773399294683,1,TRUE,FALSE,FALSE,1201,0.00666666666666993
-2.8,0.58,1,3.62666666666667,0.000114184417405455,0.000143551766166428,1,TRUE,FALSE,FALSE,1201,0.00666666666666993
-2.8,0.64,1,3.72666666666667,6.70750241079473e-05,9.70143940062229e-05,1,TRUE,FALSE,FALSE,1201,0.00666666666666993
-2.8,0.7,1,3.82,3.64042974934047e-05,6.6725837029713e-05,1,TRUE,FALSE,FALSE,1201,0.00666666666666993
-2.8,0.76,1,3.91333333333333,1.49195535214326e-05,4.55153687697329e-05,1,TRUE,FALSE,FALSE,1201,0.00666666666666993
-2.8,0.82,1,Inf,0,0,0,TRUE,TRUE,FALSE,1201,0.00666666666666993
-2.8,0.88,1,Inf,0,0,0,TRUE,TRUE,FALSE,1201,0.00666666666666993
-2.8,0.94,1,Inf,0,0,0,TRUE,TRUE,FALSE,1201,0.00666666666666993
-2.8,1,1,Inf,0,0,0,TRUE,TRUE,FALSE,1201,0.00666666666666993
-2.8,1.06,1,Inf,0,0,0,TRUE,TRUE,FALSE,1201,0.00666666666666993
